latitude,longitude,nom_commune_complet,nom_departement,nom_region
46.1427060662,5.3780109646,Bohas-Meyriat-Rignat,Ain,Auvergne-Rhône-Alpes
46.1427060662,5.3780109646,Bohas-Meyriat-Rignat,Ain,Auvergne-Rhône-Alpes
46.2423102101,5.04725416984,Mézériat,Ain,Auvergne-Rhône-Alpes
46.3622451724,6.00902631941,Mijoux,Ain,Auvergne-Rhône-Alpes
46.3622451724,6.00902631941,Mijoux,Ain,Auvergne-Rhône-Alpes
45.8955939299,4.92416967439,Mionnay,Ain,Auvergne-Rhône-Alpes
45.8442099203,4.94106746787,Miribel,Ain,Auvergne-Rhône-Alpes
45.8442099203,4.94106746787,Miribel,Ain,Auvergne-Rhône-Alpes
45.8442099203,4.94106746787,Miribel,Ain,Auvergne-Rhône-Alpes
45.9762325343,4.81028471711,Misérieux,Ain,Auvergne-Rhône-Alpes
46.1446696076,4.820110702,Mogneneins,Ain,Auvergne-Rhône-Alpes
46.1686969123,5.27962107938,Montagnat,Ain,Auvergne-Rhône-Alpes
45.799449019,5.46428608859,Montagnieu,Ain,Auvergne-Rhône-Alpes
46.17325293,5.79006091307,Montanges,Ain,Auvergne-Rhône-Alpes
46.0962893261,4.80453564172,Montceaux,Ain,Auvergne-Rhône-Alpes
46.219333227,5.11149132074,Montcet,Ain,Auvergne-Rhône-Alpes
45.9287482486,5.07092815964,Le Montellier,Ain,Auvergne-Rhône-Alpes
45.9622791838,4.94555984534,Monthieux,Ain,Auvergne-Rhône-Alpes
45.8909006209,5.01987566185,Montluel,Ain,Auvergne-Rhône-Alpes
45.8909006209,5.01987566185,Montluel,Ain,Auvergne-Rhône-Alpes
45.8909006209,5.01987566185,Montluel,Ain,Auvergne-Rhône-Alpes
46.0849573236,4.7608579486,Montmerle-sur-Saône,Ain,Auvergne-Rhône-Alpes
46.1867200301,5.11706011755,Montracol,Ain,Auvergne-Rhône-Alpes
46.1795688194,5.59510550127,Montréal-la-Cluse,Ain,Auvergne-Rhône-Alpes
46.3252811442,5.11295966315,Montrevel-en-Bresse,Ain,Auvergne-Rhône-Alpes
